text,video_url,start_time_seconds,speaker
I'm so glad that we can meet today. I've heard that you came from many countries. Actually is not about one particular country. Dharma is actually with ourself and dama of Lord Buddha. If we have learned and practiced the things that we gain from it is the suffering transcendent but most people misunderstood even Thai people most ties don't really understand Buddhism we pay respect pay homage to different,https://www.youtube.com/watch?v=1mUHIWY8oQs,4.32,Speaker
temples monastery hoping for wealth and uh progress in life and or to learn better in education. But dharma doesn't really satisfy those aims. Buddha answer one question which is to how could we live without suffering? I'm the first person to give talk. Katana said that if you give talk the first person you can talk anything is,https://www.youtube.com/watch?v=1mUHIWY8oQs,53.92,Speaker
fine for the the rest of the uh the rest of the speakers would be difficult especially would be a more difficult but it's up to him not my business. I would give give big picture to the rest of us. The main topics that I give talk is about self awareness. The second topic is about samata practice. The third topic is about practice. And the fourth topic is about,https://www.youtube.com/watch?v=1mUHIWY8oQs,99.64,Speaker
noble path and noble fruit. And the fifth topic is about nibbana in order to attain nibbana. It is the phenomena that we can transcend the suffering altogether and we can answer the question of how could we transcend the suffering the beginning of this path to transcendent suffering is self awareness is is very bizarre. People in this world never become self-aware. You're born with delusion. We live with delusion and,https://www.youtube.com/watch?v=1mUHIWY8oQs,146.08,Speaker
"die with delusion. What is delusion? Illusion in thoughts. Or if you practice dharma, you're deluded in. And you live in a world we drift away to see the things to hear to feel through the sensation of the body. is all about delusion or drifting away especially when you're drifting away through the mind which is when you drift away to think of things said that he never seen any dharma that more important than self awareness to have self awareness then it's the beginning of the",https://www.youtube.com/watch?v=1mUHIWY8oQs,191.32,Speaker
"dharma is the beginning to fight against the filements and attain the bana People in the world never really become self-aware. You can observe for example when you see images, people of walking, images of flowers, anything said ugly, our mind will drift away towards that object. For example, beautiful flowers. We our mind drift away to the flowers. Seeing beautiful girl, handsome man, our mind flow away towards those objects, beautiful dogs, cute dogs, our minds",https://www.youtube.com/watch?v=1mUHIWY8oQs,236.52,Speaker
"whipped away to the dogs. Whatever we whatever we see anything, the might attach to those objects. And what happened? So whenever the mind drift away to the object for example see the form we forget about our mind and body. If we have the body forget about the body we have the mind we forget about it. You see this when you see my hand why I rest my hand. We have the body but we forget about our body. We have the mind but we forget about the mind. Our mind is being curious why I'm resting my hand. You never realize that your mind is is being",https://www.youtube.com/watch?v=1mUHIWY8oQs,282.48,Speaker
"curious or your staring at my face that you pay attention to listening and seeing me. See, you forget about your body and mind. Some people uh sitting like this and sitting in different partes then don't really become self-aware. They don't know that their bodies have what the postures the bodies are in. They never realize what the mice like. This is when you're wandering through the eyes through the eyes to see forms and forget body and mind. When you listen to the voices, you understand the story of the singing song of the birds bird",https://www.youtube.com/watch?v=1mUHIWY8oQs,328.8,Speaker
sharping. We we enjoying it and the flowing of waters we enjoying it but never realize how the mind's like and never knows what's the body is like we forget about ourselves see the beginning of when the day we born the amount of time that uh we forget about ourself is countless but for the time that we become self-aware is very limited. That's why I said that most people in the world doesn't most people in the world don't have self awareness. So to practice dharma to transcend suffering cannot be truly,https://www.youtube.com/watch?v=1mUHIWY8oQs,376.4,Speaker
"achieved because laba said that la said that self awareness is the beginning to transcend the suffering. If we can transcend the suffering we attended the without self awareness then we satisfy our definements constant when you want to see forms see images and we keep on seeing them we forget about our body and mind we never we know about them we want to listen to the song while listening the song we enjoying it some people got broken heart and feel miserable Then whether the mind is happy or unhappy, the mind doesn't know. It respect to the past",https://www.youtube.com/watch?v=1mUHIWY8oQs,421.52,Speaker
"and enjoying things on and on. When you listen to anything, semi drift away to listen to listening. Sometime you understand it, sometime you don't. You're drifting away. E different way it mean meaning that you forget about your body and forget about your mind. Whenever you smell a thing for example we're walking and smell something very nice your m feel curious what's the flower it is why it's so smell smells so good. So you can uh buy the flowers and planet at your home. You pay attention to that or but you don't know that at the moment you",https://www.youtube.com/watch?v=1mUHIWY8oQs,469.48,Speaker
are being curious. You're being trusted in the smell. You forget about yourself. You keep on searching for that smell. Where is the flowers? What the flower it is? your body moving but you don't know. You forget about your body. Simply say that you have no self awareness. Have no self awareness. You forget about your body and mind. You keep on pay attention to the or the uh the taste the story of the mind or sometime the thoughts. Sometime you know the the story of the thought sometime you don't. You keep on thinking but you don't know what you're,https://www.youtube.com/watch?v=1mUHIWY8oQs,517.04,Speaker
"thinking. At that moment you forget about both body and mind. You don't know that you are being wandering away. People in this world live in delusion or wandering away through the doors way to taste dri away to feel think through the mind. Every time that we drifting away, we forget about every even though we have the body, forget about the body. Even though we have the mind, we forget about our mind. When if the mind we have the body and mind, which is dharma, if you forget about your body, then you won't be able",https://www.youtube.com/watch?v=1mUHIWY8oQs,563.64,Speaker
"you won't have the chance to learn about the body. You won't be able to see the truth of the body. If we have the mind and you forget about the mind, Therefore, we we wouldn't be able to learn the truth about about the mind. Therefore, we need to train ourself to become awakened. Come back to the self awareness. Train yourself to be selfaware. The methods that we can that can help us to become self aware is that first try to observe yourself. Whenever you're absent minded, trying to be aware as soon as possible. For example, if you see something, kind of be self aware that you are drifting way to see things. For example, if you listen to something and you're enjoying it, knows that",https://www.youtube.com/watch?v=1mUHIWY8oQs,608.64,Speaker
"you're drifting way to listening to it. Keep on observing yourself. Keep on observing your mind. When the mind drifting away to see, no. When the mind drift away to listening, no. So, different way to think, no. So, it can drift away through six cents. eyes, ears, tongue, body and mind. But most of time you different way through the mind through thinking. You're thinking all day long all night all day and night. But we don't forbid the thinking because the mind's nature to think. You cannot forbid to happen. Forbid it to happen. You try to uh forbid to happen. Nobody can do that. Even noble ones can still think. We can think them too. But the",https://www.youtube.com/watch?v=1mUHIWY8oQs,653.76,Speaker
difference is that when the noble one think their mind doesn't wandering away but what but for normal for other people we are thinking and we drift away to the world of thought. That's the main things that happens very often. The second one is when you're drifting when you see if you're not blinded. If you are blinded then you won't have the mind wandering through the eyes. But for the people who have eyes they can see um they can think all the time when even when they are asleep they are thinking which is dreaming. In fact when you wake up you keep seeing things when you're drifting away to see,https://www.youtube.com/watch?v=1mUHIWY8oQs,700.0,Speaker
"happens very often but it's less than drifting away to things when you're listening. If you're not deaf, you're wondering to listening things. You're thinking uh some sometime you're thinking and you don't listen. Uh sometime you see, you won't be able to listen but to observe this very carefully. The mind has nature to observe one thing at a time. While the mind thinking, the mind won't be able to listen or see. At the moment the mind if the eyes see forms the mind won't be in the world of thoughts the main job of the eyes to see",https://www.youtube.com/watch?v=1mUHIWY8oQs,748.16,Speaker
"form while listening the mind will be listening. We can prove this by to go watch series. Not sure whether there are series in this country. You can see go watch the series in movies. When you see the image on the screen when the protagonist said, you listen to them. When the when their enemies speak, you're listening to them. At the moment of listening, you don't see the forms. You pay attention to the voices they're saying and you start thinking, trying to interpret",https://www.youtube.com/watch?v=1mUHIWY8oQs,796.36,Speaker
"when when the actor said, you try to interpret interpret whether that character would fall the protagonist or not. When you're listening, you can see that your eyes is a little bit blurry. You can see things clearly because the mind keep on thinking because the nature of the mind is that you can observe one thing at a time. You can observe the L Buddha statue. You can observe the white Buddha statue. Right now you just see that at the moment that you pay attention to the body the Buddhist statue you forget about yourself. You forget about your body that whether you think that the body uh",https://www.youtube.com/watch?v=1mUHIWY8oQs,843.8,Speaker
