text,video_url,start_time_seconds,speaker
หลวงพ่อภาวนาตั้งแต่เด็กๆเริ่มแต่เด็กนะ ภาวนาง่าย นะเริ่มตอนโตแล้วภาวนาลำบากนิดนึงถ้า เริ่มตอนเด็กๆนะมันไม่มี มารยาไม่มีมารยาว่าภาวนานจะต้องเป็นอย่าง งั้นจะต้องเป็นอย่างนี้จะต้องได้อันนั้น จะต้องได้อันนี้ พ่อไปเจอท่านพ่อหลี ท่านสอนหายใจเข้าพูดหายใจออกโทนับ 1 อะไร เงี้ยนับ 2 นับ  3 ตอนนั้น 7 ขวบเองไปนะจับนัตักสอนท่าน,https://www.youtube.com/watch?v=7vTnLXaXkBw,9.44,Ajahn
น่ารักนะท่านเมตตา อ่าท่านก็สอนนะหลวงพ่อก็มาทำหายใจเข้าพูด หายใจออกโทรนับ 1 อะไรเงี้ยไม่ได้คิดว่า ทำแล้วมันจะได้ อะไรไม่ได้มีความอยากว่าทำแล้วจะต้องสุข ต้องสงบต้องบรรลุมรรคผลนิพพานเลยไม่เคย คิดเลยนะเพราะมันเด็กจนกระทั่งไม่รู้จัก อะไร เลยครูบาอาจารย์ให้ทำก็ ทำถ้าไม่นานจิตเสงบ เริ่มจากการนับมาหายไปเหลือแต่หายใจเข้า พุดหายใจออกโทนะต่อไปการบริกรรมพุทโธก็ หาย ไปเหลือแต่ลมหายใจภาวนาไปเรื่อยๆนะลมหาย,https://www.youtube.com/watch?v=7vTnLXaXkBw,56.92,Ajahn
ใจก็ระงับเป็นแสงขึ้นมาเไม่ได้คิดไม่ได้ นึกว่ามันจะต้องได้นั้นได้นี่เด็กๆมันไม่ มี มารยางั้นฝึกตั้งแต่เด็กๆนะฝึกง่ายโตขึ้น แล้วชั้นเชิงเยอะมารยามากภาวนานิดหน่อยก็ อยากได้มรรคผลนะอยากได้อภิญญาอยากได้โน อยากได้นี่เริ่มต้นก็อยากเต็มไปหมด แล้วมันก็เลยไม่ได้มันเลยยากแล้วต้องอดทน ภาวนาไปนานเลยจนมันหมดอยากะนะทีแรกภาวนา ไม่อยากสงบอยากโน้นอยากนี้มันทำไม่สำเร็จ ่ะแต่อดทนไม่เลิกนะวันหนึ่งมันก็ภาวนาไป เรื่อยๆโดยไม่ได้อยากไม่ได้คาดหวังว่าจะ,https://www.youtube.com/watch?v=7vTnLXaXkBw,107.24,Ajahn
ได้แล้วตรงที่ไม่ได้คาดหวังว่าจะได้นะมัน จะได้นะตรงที่คาดหวังอยู่มันไม่ได้ หรอก,https://www.youtube.com/watch?v=7vTnLXaXkBw,153.28,Ajahn
เวลากิเลสเกิดเนี่ยไม่ต้องไปเกลียด มันไม่ไปชอบคือหลงตามมันแล้วก็ไม่ไป เกลียดมันนะกิเลสเกิดเราก็แค่เห็นว่ามี สภาวะอันนึ่งเกิดขึ้นเหมือนมีลมพัดมา เดี๋ยวลมมันก็พัดไปนะดูมันเป็นแค่ของที่ ผ่านมาแล้วก็ผ่านไปใจเราไม่หลงยินดีไม่ หลงยินร้ายเป็นกลางนะต่อไปใจเราจะเป็น กลางกับทุกทุกขสภาวะนะสุขเกิดขึ้นจิตก็ ไม่ยินดีเป็นกลางทุกข์เกิดขึ้นจิตก็ไม่ ยินร้ายเป็นกลางนะสงบจิตก็ไม่หลงยิน ดีฟุ้งซ่านจิตก็ไม่หลงยินร้ายมันจะเข้า,https://www.youtube.com/watch?v=svXiyTwhzGU,7.72,Ajahn
สู่ความเป็นกลางนะค่อยๆฝึกไปตอนนี้จิตเรา ยังไม่เป็นกลางมันยังเร่าร้อนนะมันยัง อยากดีให้รู้ทันไอ้อยากดีนี่แหละตัวร้าย เลย่ะนะไอ้ตัวอยากดีนั่นแหละทำให้เรา เนิ่น ช้าเข้าใจเนาะเออเข้าใจก็ ดี,https://www.youtube.com/watch?v=svXiyTwhzGU,55.68,Ajahn
เพราะงั้นเราพยายามรู้สึกกายเนืองๆรู้สึก ใจเนืองๆนะดูเรื่อยๆ ไปแล้วสติที่แท้จริงมันจะเกิดมันจะรู้ ความเคลื่อนไหวของกายโดยไม่ได้เจตนาจะรู้ รู้ความเคลื่อนไหวของจิตใจโดยไม่ได้เจตนา จะรู้นะรู้โดยไม่เจตนานั่นแหละของจริงละ จงใจรู้ยังไม่ใช่อันนั้นเจือด้วยโลภะ อย่างเราจงใจเห็นท้องพองเห็นท้องยุบเราจง ใจรู้เงี้ยหรือเราหายใจออกหายใจเข้าเราจง ใจรู้ตัวจงใจนะฟังแล้วมันโก้ดีนะเรียกสะ เพราาะเลยว่าฉันทะที่จริงโลภะนะอยาก,https://www.youtube.com/watch?v=Pa3Ost9SWYQ,5.56,Ajahn
ปฏิบัติอยากรู้อยากเห็นอยากเป็นอยากได้ อยากดีที่แย่ที่สุดคืออยากเด่นนะอยากรู้ อยากเห็นอยากอยากเป็นอยากได้อยากดีแล้วก็ อยากเด่นอย่าเงี้ยนะตรงที่เราลงมือ ปฏิบัติไปแล้วมีกิเลสอยู่เบื้องหลังนตลอด สายของการปฏิบัตินั้นไม่ใช่กุศลนะอกุศลเ ยังอยู่อย่างเราเดินจงกรม 3 ชั่วโมงนะแต่ เดินได้ว่าความอยากดีอยากสุขอยากสงบเนี่ย นะตัวเนี้ยซ่อนอยู่แล้วเราไม่เห็นนะเรา อ่านจิตตัวเองไม่ ขาด กิเลสนะในอภิธรรมสอนนะกิเลสเป็นสหชาต ปัจจัยของกรรมนี่พูดภาษาที่มนุษย์ไม่ค่อย,https://www.youtube.com/watch?v=Pa3Ost9SWYQ,51.68,Ajahn
รู้เรื่องถ้าพูดภาษาที่มนุษย์รู้เรื่องก็ คือการกระทำทั้งหลายทั้งปวงที่มีกิเลส ซ่อนอยู่เบื้องหลัง่ะการกระทำนั้น น่ะในขณะนั้นน่ะกิเลสยังมีอิทธิพลครอบงำ อยู่นะกิเลสยังครอบงำจิตใจเราอยู่งั้นเรา เดินจงกรมวันนึงตั้งหลายชั่วโมงนะแต่เดิน ด้วยความอยากดีอยากเด่นอยากสุขอยากสงบ อะไรเยโลภะยังอยู่แล้วผลักดันให้เราไป เดินจงกรมนะตลอดเวลาที่เดินจงกรมนั้นโลภะ ยังอยู่จิตเป็นกุศลหรืออกุศลจิตขนานั้น เป็นอกุศลนะงั้นดี มั้ยก็ได้บางอย่างได้ขันติความอดทนนะมี,https://www.youtube.com/watch?v=Pa3Ost9SWYQ,98.6,Ajahn
สัจจะว่าจะเดินแล้วก็เดินอะไเมีอธิษฐาน ตั้งใจจะเดินแล้วก็เดินเงี้ยก็ดีเหมือน กันแต่ก้าวมาไม่ถึงขั้นเจริญปัญญาหรอกนะ คือเรานั่ง สมาธินั่งด้วยความอยากให้มันสงบมันฟุ้ง ซ่านอยู่แล้วก็รำคาญมันฟุ้งซ่านแล้วต่อ ด้วยรำคาญใจเราก็พยายามไปนั่งในหายใจ เฮือกๆๆกะจะให้สงบนะอันนั้นทำด้วยกิเลสนะ อย่างจิตใจเราฟุ้งซ่านนะเรารำคันใจอนี้ โทสะนะแล้วก็พยายามไปนั่งคมใจตัวเองไป เรื่อยๆตลอดเวลาที่นั่งอยู่นน่ะโทสะยังทำ งานอยู่นะเพราะงั้นเราจะต้องเข้าใจจิตใจ,https://www.youtube.com/watch?v=Pa3Ost9SWYQ,147.76,Ajahn
