text,video_url,start_time_seconds,speaker
想要修行直到离苦， 就不要白白浪费时间。 有一点点时间，哪怕五分钟、十分钟， 也要去修行，有觉性。 只是呼吸、觉知自己， 就已经很好了。 空闲时，比如刚才在等隆波开示的时候， 大家坐着，心跑来跑去，却根本看不到， 这样是浪费时间的， 亏本的，白白的死去。 我们的时间有限， 平均年龄约为七十五岁，大约 三万天， 很快就会过去。,https://www.youtube.com/watch?v=jUkafIMp8tE,9.63,老师
"如果每天积少成多, 只有 五分钟、十分钟的空当，也拿来修行, 如果一小时里，仅可以修行五分钟， 那么十二个小时之下，就累积一小时了， 我们就会有足够的修行时间。 如果不勤奋地将时间一点一滴收集起来， 我们修行的时间就会很少， 而跟随烦恼习气迷失的时间则很多， 就无法战斗。 如果大家坐着，在等着隆波的开示时也觉知自己，",https://www.youtube.com/watch?v=jUkafIMp8tE,56.75,老师
吸佛呼陀，什么(禅修所缘)都可以， 就好过于让心四处流浪。 一旦我们的心跑掉， 就会跟随烦恼习气迷失，给自己带来痛苦。 因此，一点点时间也要收集起来。,https://www.youtube.com/watch?v=jUkafIMp8tE,104.74,老师
"每天，从早上醒来, 就努力训练自己， 不断地训练让自己有戒、有法，直到入睡。 每一天，我们就不会抱怨说“没有时间修行”。 我们几乎整天都在修行， 根据一份已经进行好久了的研究， (如今在研究里的数据可能不再适用)， 一天当中，工作8到10个小时的人， 其实，真正使用大脑工作的时间，大约只有4个半小时。",https://www.youtube.com/watch?v=eE9p2H2DZVU,7.71,老师
"剩下的时间用来散乱，并没有工作。 因此，从醒来到入睡， 假如，我们睡着8个小时，醒着共有16个小时， 在16个小时之内，用来工作的时间其实是4到4个半小时, 剩下的时间有多少？
有10几个小时，可以用来修行。 我们就不会说 “没时间修行”, 而且也不会抱怨说 “为什么那个人修行进展很快？",https://www.youtube.com/watch?v=eE9p2H2DZVU,52.88,老师
"自己修了好几年都比不过他”。 修行了好几年，可是一天当中，只是在睡觉之前修行半个小时， 剩下的时间全处于迷失之中。 同时，另外一个人一天修行10个多小时， 怎能比得过呢？ 因此，谁修行进展得快，用不着嫉妒他。 修行很快的人有两个因素。 第一，他曾经修行过，
好像花瓶即将装满了水一样， 就快装满了，再加一点儿，就满了。 从未训练过的人呢，
他们必须从起跑线开始，必须累积，",https://www.youtube.com/watch?v=eE9p2H2DZVU,98.59,老师
"因此，过去累积的福报 (过去曾经造善业), 会让我们修行进展很快。 另一个因素是新业。 首要条件是：每天修得对不对？ 再者，如果修对了, 修了多少？ 只有一丁点儿， 如何能有大的成效？ 一天当中已经随顺烦恼习气15个小时了, 半个小时的修行，不会带来什么成效的。 但是也好过于什么都不做，称之为 “习惯成自然”。 历经了多位佛陀（之后）， 根器愈加敏锐，修行就会愈发容易。",https://www.youtube.com/watch?v=eE9p2H2DZVU,148.31,老师
因此，这样树立目标： 从醒来到入睡，我们都要不断地修行。 在大脑不需要工作、不需要思维的时候， 那个时候就一定要修行， 和我们的禅修业处在一起。,https://www.youtube.com/watch?v=eE9p2H2DZVU,199.87,老师
因為得了流感 這個已經好幾天不能說話了 嗓子依然還不太好 而且這個這個天氣比較潮溼 別把生命這個委託給隆波 隆波也必然會老 必然會病 必然同樣會死 必須要能夠靠自己 起點 這個是要這個好好地持五戒 戒如果壞了話,https://www.youtube.com/watch?v=NcISDw5rzac,6.56,老师
修行是進步不了的 禪定會立馬壞掉 要用心持守這個戒 五條就夠了 修行如果沒有戒 那是無法真的做到 做的 要訓練這種習慣 習慣性地要修行 每一次 這個有機會 都要有覺性去覺知自己的身 覺知自己的心,https://www.youtube.com/watch?v=NcISDw5rzac,52.56,老师
居士 非常多的居士 這個包括出家人在內 修行了之後進步特別地慢 或者根本不進步 因為這個修了之後就停 修了之後又停 修了之後又停 遇到高僧大德就會很勤奮地用功 一旦這個背著 這個高僧大德就會很懶得去修行了 在 有機會修行的時候 就會白白地浪費 比如在坐在這個禪堂的時候 坐著了之後心走神 想東想西不停地想來想去的,https://www.youtube.com/watch?v=NcISDw5rzac,103.08,老师
我們就白白地浪費時間了 在我們吃飯的時候 我們的心喜歡這個菜 喜歡這一口 喜歡那口不喜歡 每一口食物 我們的感覺都不同 我們吃飯然後一邊聊天 根本不知道 就會迷失 迷失在 念頭的世界 不停地找事情來閒聊 我們沒有看到 這個舌頭嚐到味道 每一口 我們的感覺都不一樣 坐車 開車,https://www.youtube.com/watch?v=NcISDw5rzac,149.04,老师
這個堵車了心很煩 心很煩就生氣了 就會那個時候 白白地受苦而已 但是如果我們看到堵車了心鬱悶 知道說鬱悶 這個我們在修行 修行不難 難的僅僅只是不修行的人 而且誤解了 說修行啊 一開始 在這個打坐經行的時候 那麼去想的話 要想提升的概率就特別少了,https://www.youtube.com/watch?v=NcISDw5rzac,195.12,老师
因為一整天都是迷失的 因此必須要把修行啊 能夠跟真實的生活中這個 結合起來 如果這一點做不到的話那不可能的 那不可能證悟什麼道果的 阿姜曼尊者他教導 隆波並沒有趕上他的時代 隆波是從 這個隆普蘇瓦長老那裡聽過來的 隆普蘇瓦長老跟阿姜曼尊者學過法 阿姜曼尊者開示說 修習禪定太多就會很緩慢 思維分析地太多就會散亂 修行最重要的這個核心在於 在日常生活中有覺性,https://www.youtube.com/watch?v=NcISDw5rzac,241.72,老师
如果這一點做不到 這個概率就很少可以突破了 僅僅只是在坐在禪堂 打坐的時候很厲害 那根本是不懂事 其它剩下的時間全部都煩惱 被煩惱習氣吞沒了 為什麼煩惱習氣可以吞沒它 是因為我們心甘情願 自己心甘情願地投入在想 如果我們試著很心意堅決 只要有空 就去有覺性去讀自己 能夠讀心就去讀 讀心讀不了 那就去感覺身體,https://www.youtube.com/watch?v=NcISDw5rzac,294.0,老师
放任讓心迷失去想東想西那個是很無聊的事情 迷失 隆波跟隆普敦長老學法 就來觀自己的心 不停地去觀 什麼時候有空 就什麼時候去觀 從一起床就開始觀了 一醒來 心接觸到念頭的一瞬間,https://www.youtube.com/watch?v=NcISDw5rzac,339.4,老师
啊今天是星期一 必須要著急去上班 曼谷以前的星期一這個堵得很厲害的 就必須要很著急 害怕這個上班來不及 看到心擔心 害怕這個上班 趕不上 要洗澡 要排洩 要做什麼 這個不停地去讀自己的感覺 有出家人 有個高僧大德的一位侍者曾經問過隆波 那個時候隆波並沒有出家 就問說居士你怎麼能夠修行的 居士修行一年了 這個比出家人修10年20年進步得更大,https://www.youtube.com/watch?v=NcISDw5rzac,385.88,老师
隆波就說 隆波是一整天修行 一整天修行 並不是說不去賺錢不工作 在我們賺錢工作的時候 我們必須要用到思維分析的工作的時候 必須要去盡職責 去盡自己世間的職責 但是其它剩下的時間 全都是修行的時間 以前隆波在這個國務院工作 必須要這個 這個要跟很多部門這個交往 要這個安排很多的會議 然後很多的訊息要這個總結 這個大部分時間都是用於開會的,https://www.youtube.com/watch?v=NcISDw5rzac,436.4,老师
這個很多方面的 這個資訊資料要做研究做評估 比如我們要安排會議 還沒有到時間 這個會議的時間 這個成員還沒有到齊 大部分人做的事情就是坐著閒聊 坐著喝咖啡 等 那就把時間白白地浪費掉揮霍掉 有時候等10分鐘等20分鐘 隆波並沒有會把時間白白地扔掉 然後自己跟別人一樣也在喝咖啡 坐著喝咖啡 但是,https://www.youtube.com/watch?v=NcISDw5rzac,482.8,老师
不停地去讀自己的感覺 坐著等 心就很掙扎 所以今天啊 這個部門它是派誰來參會的 如果這個人來的話那就非常棒了 結果呢 那個自己想讓他來的真的來了 就只是這樣就自己很高興的 就會看到自己 這個或者是坐著正在很掙扎 在很掙扎的時候就會看到心的動盪不安 在看到心這個動盪不安 這個很掙扎說 究竟會誰來呢 在那個看的時候就是在修行了,https://www.youtube.com/watch?v=NcISDw5rzac,528.72,老师
而不是就只是這個閒坐著 而是坐著不停地去讀自己的感覺 一旦看到這個人臉 這個人來開 參會了 看了很討厭 有的人 這個 職位很高 說的時候說 所有人必須聽 但是特別蠢啊 只能夠用這個詞了 來了之後就說說說 要花很多時間說 但是根本沒有任何意義 沒有任何實質 資料也沒有 幾乎這個就是白白地在說 這個他沒有任何的資訊 這個好的這個解決問題的這個方向也沒有 一來就會說啊,https://www.youtube.com/watch?v=NcISDw5rzac,575.68,老师
哎呀這個事情問題多 這個問題 那個問題 這個問題 如果僅僅只是厲害於去找問題 這個稱之為不會工作 必須要很精通於 要怎麼去能夠回答 去解決 怎麼解決問題這樣才行呢 對嗎 這個比如像我們看到這個人臉了很煩 知道說很煩 這個修行了 而不是煩了之後不修行 坐著聽他說 眼睛也會看 睜開眼睛看,https://www.youtube.com/watch?v=NcISDw5rzac,620.96,老师
但是心並沒有聽 知道根本沒有任何內容 看到別人這個笑 自己也在笑 別人點頭 自己也禮貌性地點點頭 但是自己的心就在裡面在修行 那誰知道呢 久久地就會讓心出來聽一下 哎講到哪裡了啊 依然還在原來的地方繞呢 哎繼續回來進來修行 這個是在這個會議室的時候 依然在修行 因此比如像 隆波看到我們有時候走,https://www.youtube.com/watch?v=NcISDw5rzac,668.64,老师
走在這個 這個戒堂門口 大家的心這個很陶醉有快樂 那個不行 走在這個戒堂的門口 比如說有些天 天氣很好 很舒服 很舒適 心有快樂 必須知道有快樂 去讀不停地去讀自己的感覺 那個就是在真實的 真實生活中在修行 修行 真實的日常生活中修行是很難的 因為我們用的是這個六個根門,https://www.youtube.com/watch?v=NcISDw5rzac,714.0,老师
我們睜開眼睛對嗎 就會看這看那 我們聽到這個那個聲音 聞到氣味 嚐到味道 感知身體方面的接觸 心就會去想 這個心啊 接觸 這個在六個根門 不停地這個換位置 我們要去守著說 僅僅只是 換眼睛看畫面那個就有點過了 因為聽一點聲音又會去 這個看一點畫面去聽聲音了 然後緊接著就看出 現在心去聽聲音了 那太快了 那個要想做得到那個太快了 試著調整一丁點 接下來眼睛看到畫面 在心裡面 自己的心裡面產生了變化,https://www.youtube.com/watch?v=NcISDw5rzac,760.24,老师
看到漂亮的花心喜歡 知道喜歡 只是就只是去覺知這個單一的心 聽到這個 這個鳥叫聲 鳥叫聲音很好聽 心有快樂 知道說有快樂 這個就是修行 眼耳鼻舌身意接觸境界 很自然正常地去接觸境界 但是接觸了之後呢 這個這個 生起了這個變化的感覺 要有覺性去知道 這個是訣竅 這個是在日常生活中 這個培養覺性 日常生活中修行的訣竅在這裡 也就是要去讀自己的心 並不取決於強迫打壓自己,https://www.youtube.com/watch?v=NcISDw5rzac,805.92,老师
