video_id,title,duration,view_count,upload_date,has_subtitles,subtitle,check_time
BMq7b1BC1Og,慈悲的量子糾纏 :: 隆波帕默尊者 — 2025年5月12日｜中文同聲翻譯,1386,748,,No,,5/25/2025 0:00
qJCtNrVrrEA,2025年4月27日B 隆波帕默尊者（中文同聲翻譯),1824,618,,No,,5/25/2025 0:00
sGk8oVyePk4,[Rerun] 27 April 2025 l Luangpu Pramote Pamojjo's Dhamma Talk,3767,53,,Yes,th,5/25/2025 0:00
fWBu0S5k-dE,業果顯化的時間密碼 :: 隆波帕默尊者 --2025年4月19日B  (中文同聲翻譯),2743,1446,,No,,5/25/2025 0:00
dWmbmH0LgIw,第三屆大馬｜佛法並非遙不可及，而是人類能力所及 :: 阿姜塔努宋尊者 l 2025年3月30日（中文同聲翻譯）,5549,278,,No,,5/25/2025 0:00
UXV06owcdgs,"The Dhamma Is Not Beyond Reach, It Is Within Human Capacity: Phra Thanusorn Jirasarano - 30 Mar 2025",5549,57,,Yes,th,5/25/2025 0:00
_QclSa1_aX8,禅定在心，不在姿势::隆波帕默尊者—2025年4月14日｜同传版,1319,290,,No,,5/25/2025 0:00
smPw3d61sJI,Why is your practice slow? You might have fallen into these traps: Ajahn Oranuch Santayakorn-27Mar25,5416,85,,Yes,th,5/25/2025 0:00
w93n0ig8xhw,第三屆大馬｜修行為何這麼慢？你可能掉進了這些陷阱 :: 麥琪奧蘭努｜2025年3月27日（中文同聲翻譯),5416,438,,No,,5/25/2025 0:00
cB0grly_zHE,探究“我”的真相::隆波帕默尊者—2025年4月13日｜同传版,3770,786,,No,,5/25/2025 0:00
YBOby61FP_0,悲心传法灯::隆波帕默尊者—2025年4月7日｜同传版,1146,1272,,No,,5/25/2025 0:00
cpvb4pb5rAw,The Meditative Journey of Venerable Phra Ajahn Somchai Kittiyano - 26 March 2025,3957,92,,Yes,th,5/25/2025 0:00
779xd8tgBSo,第三屆大馬｜阿姜宋猜尊者的修行心路歷程 :: 阿姜宋猜尊者｜2025年3月26日（中文同聲翻譯),3957,406,,No,,5/25/2025 0:00
4cQw_lLZp6k,佛陀教我们要“知苦” :: 隆波帕默尊者—2024年2月19日｜中文字幕,1519,783,,Yes,th,5/25/2025 0:00
3z2F8NfIupA,大马第三届｜修行全览图：觉醒之路的导航::隆波帕默尊者—2025年3月26日｜同传版,4396,2584,,No,,5/25/2025 0:00
1mUHIWY8oQs,Practice Overview Map: A Navigation Guide on the Path to Awakening｜Luangpu Pramote Pamojjo-26Mar2025,4396,311,,Yes,en,5/25/2025 0:00
jUkafIMp8tE,不要白白浪费时间 :: 隆波帕默尊者—2021年5月09日｜中文字幕,138,194,,Yes,"zh,th",5/25/2025 0:00
eE9p2H2DZVU,让你修行迅速的因素 :: 隆波帕默尊者—2022年1月15日｜中文字幕,231,546,,Yes,"zh,th",5/25/2025 0:00
NcISDw5rzac,别把生命委托给谁::隆波帕默尊者—2025年3月10日｜同传版,937,1307,,Yes,zh,5/25/2025 0:00
sThEXClXCT0,修行不是为了得到:: 阿姜巴山 — 2025年2月22日｜同传版,7500,560,,No,,5/25/2025 0:00
oraSugoIx2U,[Rerun] 8 February 2025 Luangpu Pramote Pamojjo's Dhamma Talk,3907,150,,Yes,th,5/25/2025 0:00
lzsiT-W_VxE,恶业如盐，善业如水:: 阿姜巴山 — 2025年2月1日｜同传版,5246,423,,No,,5/25/2025 0:00
oaJKD2UrSYQ,别愚昧地信仰老师:: 阿姜巴山 — 2025年1月25日｜同传版,7628,455,,No,,5/25/2025 0:00
ZvE8sEk2Aak,修行的同时也要尽好世间的义务:: 阿姜巴山 — 2025年1月18日｜同传版,7191,252,,No,,5/25/2025 0:00
HcrhJHxmyoA,要从自己身心呈现的现象里学法:: 阿姜巴山 — 2025年1月11日｜同传版,7598,336,,No,,5/25/2025 0:00
ht_c6TMcs-M,临时的家可以帮助我们更容易地看到心:: 阿姜巴山 — 2025年1月5日｜同传版,5527,340,,No,,5/25/2025 0:00
58hRc02gruA,第一届新加坡 :: 阿姜巴山 l 2024年11月30日C（中文同聲翻譯）,2267,151,,No,,5/25/2025 0:00
wcfIKtde1VM,第一届新加坡 :: 阿姜巴山 l 2024年11月30日B（中文同聲翻譯）,7661,208,,No,,5/25/2025 0:00
YRO9pHuUTlw,从梦的世界中醒过来::隆波帕默尊者—2024年12月29日｜同传版,1155,389,,No,,5/25/2025 0:00
8XQC09XxTIw,第一届新加坡 :: 阿姜巴山 l 2024年11月30日A（中文同聲翻譯）,2390,173,,No,,5/25/2025 0:00
RaqS8t-Og6o,详解“不妄语戒”::隆波帕默尊者—2024年12月28日｜同传版,1476,394,,No,,5/25/2025 0:00
le3vSWRrq7E,[Rerun] 5 January 2025 l Luangpu Pramote Pamojjo's Dhamma Talk,3969,58,,No,,5/25/2025 0:00
uHkdSvbXWmU,第一届新加坡 :: 阿姜纳｜2024年11月30日 （中文同聲翻譯）,8876,209,,No,,5/25/2025 0:00
7oNPpK97i70,第一届新加坡 :: 阿姜妮｜2024年11月30日B（中文同聲翻譯）,9178,131,,No,,5/25/2025 0:00
qeq9PGXtwTo,第一届新加坡 :: 阿姜妮｜2024年11月30日A（中文同聲翻譯）,3662,150,,No,,5/25/2025 0:00
9Kt-CpicWH0,第一届新加坡 :: 阿姜妮｜2024年11月29日（中文同聲翻譯）,10209,295,,No,,5/25/2025 0:00
YrY9sAd8PPs,[Rerun] 1 January 2025 l Luangpu Pramote Pamojjo's Dhamma Talk,3737,78,,Yes,th,5/25/2025 0:00
Bnl2uxABnTU,新年与修行::隆波帕默尊者—2025年1月1日｜同传版,3734,868,,No,,5/25/2025 0:00
qRnQ2-zfDT8,第一届新加坡 :: 阿姜巴山 l 2024年11月29日B（中文同聲翻譯）,6429,260,,No,,5/25/2025 0:00
FMd2UZCjmXQ,第一届新加坡 :: 阿姜巴山 l 2024年11月29日A（中文同聲翻譯）,2090,358,,No,,5/25/2025 0:00
XV7Ct0D2vXE,第一届新加坡 :: 阿姜纳｜2024年11月29日C （中文同聲翻譯）,1979,254,,No,,5/25/2025 0:00
QVDWcJr63ew,第一届新加坡 :: 阿姜纳｜2024年11月29日B （中文同聲翻譯）,8955,473,,No,,5/25/2025 0:00
ZfeSafhflc8,第一届新加坡 :: 阿姜纳｜2024年11月29日A （中文同聲翻譯）,4036,840,,No,,5/25/2025 0:00
zSQCq_jx_b0,我们无法通过造作心而离苦:: 阿姜巴山 — 2024年11月2日｜同传版,3934,325,,No,,5/25/2025 0:00
W0PVOrctAtI,[Rerun] 21 December 2024 l Luangpu Pramote Pamojjo's Dhamma Talk,3511,98,,Yes,th,5/25/2025 0:00
GzzTa8e1M40,渴爱让修行缓慢:: 阿姜巴山 — 2024年12月15日｜同传版,6554,465,,No,,5/25/2025 0:00
5E0gGi_cKpI,只有法才是我们生命的真伴侣::隆波帕默尊者—2024年12月5日｜同传版,1577,797,,No,,5/25/2025 0:00
qgg1lNY7zTI,佛教为什么信众少的原因::隆波帕默尊者—2024年12月10日｜同传版,1429,707,,No,,5/25/2025 0:00
HdXgMigRe7M,如何修习“死随念”:: 阿姜巴山 — 2024年11月23日B｜同传版,2400,208,,No,,5/25/2025 0:00
haAf-rEI9tM,在法中忍耐:: 阿姜巴山 — 2024年11月23日A｜同传版,4244,365,,No,,5/25/2025 0:00
DdLj1vByAIY,先抓住原则，再去动手实践::隆波帕默尊者—2024年11月27日｜同传版,1654,674,,No,,5/25/2025 0:00
yaM9ZBTMHfU,再苦也别逃离，再好也别想要:: 阿姜松 — 2024年10月26日｜同传版,6620,337,,No,,5/25/2025 0:00
Dwd2e5I2kqc,第九屆網路中文課程直播表 :: 阿姜沃伊｜2024年10月26日,8210,159,,No,,5/25/2025 0:00
t2F9mLHW6uc,修行的关键在于正确的用心::隆波帕默尊者—2024年11月24日｜同传版,3702,898,,No,,5/25/2025 0:00
F2e-HoCO62s,[Rerun] 24 November 2024 l Luangpu Pramote Pamojjo's Dhamma Talk (Simultaneous English translation),3703,94,,Yes,en,5/25/2025 0:00
GWe-86vgG4I,十波罗蜜和十善:: 阿姜巴山 — 2024年11月17日｜同传版,4525,378,,No,,5/25/2025 0:00
ZFH3h7FxqIE,English translation l course in Malaysia l Ajahn Prasan Bhuddhakulsomsiri - 15 April 2024 (B),4216,40,,Yes,th,5/25/2025 0:00
EKJw_ohDnxg,第二屆大馬｜當不喜歡某人時 :: 阿姜巴山｜2024年4月15日B（同聲翻譯）,4217,161,,No,,5/25/2025 0:00
EQbyAQWP0EQ,第二屆大馬｜空花水月夢一場 :: 阿姜巴山｜2024年4月15日A（同聲繁體）,6486,162,,No,,5/25/2025 0:00
