text,video_url,start_time_seconds,speaker
greetings,https://www.youtube.com/watch?v=F2e-HoCO62s,4.16,Speaker
everyone Sunday morning and coming to,https://www.youtube.com/watch?v=F2e-HoCO62s,9.16,Speaker
listen to D Dharma is very,https://www.youtube.com/watch?v=F2e-HoCO62s,12.12,Speaker
good because you gain some strengths to,https://www.youtube.com/watch?v=F2e-HoCO62s,14.76,Speaker
fight against defs for many,https://www.youtube.com/watch?v=F2e-HoCO62s,17.52,Speaker
days is serene,https://www.youtube.com/watch?v=F2e-HoCO62s,28.16,Speaker
the world is,https://www.youtube.com/watch?v=F2e-HoCO62s,30.68,Speaker
scoring we training ourself to practice,https://www.youtube.com/watch?v=F2e-HoCO62s,34.28,Speaker
in know our mind to become Serene and,https://www.youtube.com/watch?v=F2e-HoCO62s,37.52,Speaker
happy the world outside cannot be fixed,https://www.youtube.com/watch?v=F2e-HoCO62s,41.16,Speaker
because it's chaotic as it,https://www.youtube.com/watch?v=F2e-HoCO62s,44.28,Speaker
is we come to train our,https://www.youtube.com/watch?v=F2e-HoCO62s,48.72,Speaker
mind to be with the,https://www.youtube.com/watch?v=F2e-HoCO62s,51.68,Speaker
world without become scoring like the,https://www.youtube.com/watch?v=F2e-HoCO62s,54.44,Speaker
world,https://www.youtube.com/watch?v=F2e-HoCO62s,58.12,Speaker
what a that,https://www.youtube.com/watch?v=F2e-HoCO62s,68.36,Speaker
most Buddhists not are not interested in,https://www.youtube.com/watch?v=F2e-HoCO62s,70.84,Speaker
Dharma practice they never,https://www.youtube.com/watch?v=F2e-HoCO62s,75.0,Speaker
taste,https://www.youtube.com/watch?v=F2e-HoCO62s,77.68,Speaker
Dharma and didn't know and they don't,https://www.youtube.com/watch?v=F2e-HoCO62s,79.28,Speaker
know how wonderful the dharm,https://www.youtube.com/watch?v=F2e-HoCO62s,83.12,Speaker
is a lot of people come to visit temples,https://www.youtube.com/watch?v=F2e-HoCO62s,85.68,Speaker
in order to,https://www.youtube.com/watch?v=F2e-HoCO62s,89.0,Speaker
pay H much,https://www.youtube.com/watch?v=F2e-HoCO62s,91.88,Speaker
to uh statues and trees that irrelevant,https://www.youtube.com/watch?v=F2e-HoCO62s,93.96,Speaker
to Buddhism at,https://www.youtube.com/watch?v=F2e-HoCO62s,98.96,Speaker
all only a few come to the monastery,https://www.youtube.com/watch?v=F2e-HoCO62s,102.76,Speaker
that teaches Dharma most people come to,https://www.youtube.com/watch?v=F2e-HoCO62s,106.64,Speaker
visit Dharma to uh do do different,https://www.youtube.com/watch?v=F2e-HoCO62s,109.44,Speaker
things that's depend on especially,https://www.youtube.com/watch?v=F2e-HoCO62s,113.36,Speaker
that's depend on people spiritual,https://www.youtube.com/watch?v=F2e-HoCO62s,117.04,Speaker
faculty,https://www.youtube.com/watch?v=F2e-HoCO62s,119.4,Speaker
most people have weak spiritual,https://www.youtube.com/watch?v=F2e-HoCO62s,120.8,Speaker
faculties that why they want to depend,https://www.youtube.com/watch?v=F2e-HoCO62s,122.56,Speaker
on things that worldly people do like,https://www.youtube.com/watch?v=F2e-HoCO62s,124.96,Speaker
they do this on the purpose of be,https://www.youtube.com/watch?v=F2e-HoCO62s,129.64,Speaker
getting rich or getting some benefits,https://www.youtube.com/watch?v=F2e-HoCO62s,131.32,Speaker
out of it they aim for those,https://www.youtube.com/watch?v=F2e-HoCO62s,133.68,Speaker
things actually it has some,https://www.youtube.com/watch?v=F2e-HoCO62s,137.88,Speaker
benefits but it Grant the most important,https://www.youtube.com/watch?v=F2e-HoCO62s,143.68,Speaker
benefits that Buddhism can,https://www.youtube.com/watch?v=F2e-HoCO62s,147.84,Speaker
you can,https://www.youtube.com/watch?v=F2e-HoCO62s,150.36,Speaker
offer are not interested by a lot of,https://www.youtube.com/watch?v=F2e-HoCO62s,152.56,Speaker
people therefore we have to take,https://www.youtube.com/watch?v=F2e-HoCO62s,156.68,Speaker
action to train and learn DH take it,https://www.youtube.com/watch?v=F2e-HoCO62s,160.16,Speaker
seriously we,https://www.youtube.com/watch?v=F2e-HoCO62s,164.72,Speaker
don't play uh because we have limited,https://www.youtube.com/watch?v=F2e-HoCO62s,166.24,Speaker
time and time pass by every,https://www.youtube.com/watch?v=F2e-HoCO62s,169.96,Speaker
day master has been fading,https://www.youtube.com/watch?v=F2e-HoCO62s,173.32,Speaker
away 40 years 5 50 years,https://www.youtube.com/watch?v=F2e-HoCO62s,177.68,Speaker
ago in the time when I was searching for,https://www.youtube.com/watch?v=F2e-HoCO62s,181.68,Speaker
Masters and learning Dharma there's a,https://www.youtube.com/watch?v=F2e-HoCO62s,185.72,Speaker
lot of Masters back,https://www.youtube.com/watch?v=F2e-HoCO62s,188.48,Speaker
then especially in the northeastern part,https://www.youtube.com/watch?v=F2e-HoCO62s,190.64,Speaker
of Thailand there are lot of Masters,https://www.youtube.com/watch?v=F2e-HoCO62s,194.28,Speaker
good,https://www.youtube.com/watch?v=F2e-HoCO62s,196.92,Speaker
Masters even just one route you can come,https://www.youtube.com/watch?v=F2e-HoCO62s,199.2,Speaker
to visit many temples with good Masters,https://www.youtube.com/watch?v=F2e-HoCO62s,203.08,Speaker
but,https://www.youtube.com/watch?v=F2e-HoCO62s,206.36,Speaker
nowadays in the same road master that,https://www.youtube.com/watch?v=F2e-HoCO62s,208.76,Speaker
used to be there they used to be,https://www.youtube.com/watch?v=F2e-HoCO62s,212.32,Speaker
there no the master no longer there,https://www.youtube.com/watch?v=F2e-HoCO62s,215.24,Speaker
anymore that's why back then I like,https://www.youtube.com/watch?v=F2e-HoCO62s,219.6,Speaker
holidays I like to go to ISA nor eastern,https://www.youtube.com/watch?v=F2e-HoCO62s,222.88,Speaker
part of Thailand or in northern part of,https://www.youtube.com/watch?v=F2e-HoCO62s,225.68,Speaker
Thailand to shingai or Shing raai to,https://www.youtube.com/watch?v=F2e-HoCO62s,227.64,Speaker
visit,https://www.youtube.com/watch?v=F2e-HoCO62s,230.28,Speaker
moners but most of the time I went to,https://www.youtube.com/watch?v=F2e-HoCO62s,231.2,Speaker
isan because there a lot of Masters when,https://www.youtube.com/watch?v=F2e-HoCO62s,234.88,Speaker
whenever I visit there I was very happy,https://www.youtube.com/watch?v=F2e-HoCO62s,237.6,Speaker
to eat having dinner having eat having,https://www.youtube.com/watch?v=F2e-HoCO62s,241.52,Speaker
lunch breakfast in the temples and train,https://www.youtube.com/watch?v=F2e-HoCO62s,245.96,Speaker
myself um in that,https://www.youtube.com/watch?v=F2e-HoCO62s,250.28,Speaker
temples eating a local foods like um,https://www.youtube.com/watch?v=F2e-HoCO62s,253.28,Speaker
vegetables with the chili,https://www.youtube.com/watch?v=F2e-HoCO62s,257.6,Speaker
sauce I'm not really accustomed to those,https://www.youtube.com/watch?v=F2e-HoCO62s,260.44,Speaker
kind of tradition eat eating culture but,https://www.youtube.com/watch?v=F2e-HoCO62s,263.4,Speaker
because I live in I'm a city dweller,https://www.youtube.com/watch?v=F2e-HoCO62s,266.64,Speaker
but,https://www.youtube.com/watch?v=F2e-HoCO62s,270.8,Speaker
uh sometime there are some uh dwellings,https://www.youtube.com/watch?v=F2e-HoCO62s,272.4,Speaker
provided but sometime they don't provide,https://www.youtube.com/watch?v=F2e-HoCO62s,277.8,Speaker
dwellings that why I sometime have to,https://www.youtube.com/watch?v=F2e-HoCO62s,280.2,Speaker
had to,https://www.youtube.com/watch?v=F2e-HoCO62s,283.0,Speaker
um uh lying down under the tree there's,https://www.youtube.com/watch?v=F2e-HoCO62s,285.0,Speaker
a in in at night there are uh the dark,https://www.youtube.com/watch?v=F2e-HoCO62s,290.4,Speaker
sky and the animals surrounded the,https://www.youtube.com/watch?v=F2e-HoCO62s,295.68,Speaker
different sounds of the animal it's very,https://www.youtube.com/watch?v=F2e-HoCO62s,298.64,Speaker
peaceful,https://www.youtube.com/watch?v=F2e-HoCO62s,301.24,Speaker
environment keep training myself to be,https://www.youtube.com/watch?v=F2e-HoCO62s,302.6,Speaker
able to live uh humbly and most of time,https://www.youtube.com/watch?v=F2e-HoCO62s,305.64,Speaker
I spend on cultivating mindfulness when,https://www.youtube.com/watch?v=F2e-HoCO62s,310.2,Speaker
the times come I do sitting and walking,https://www.youtube.com/watch?v=F2e-HoCO62s,312.96,Speaker
meditation and chanting as,https://www.youtube.com/watch?v=F2e-HoCO62s,314.84,Speaker
well for the rest of the time I try to,https://www.youtube.com/watch?v=F2e-HoCO62s,317.96,Speaker
Cate myness in daily,https://www.youtube.com/watch?v=F2e-HoCO62s,320.84,Speaker
life to do that to to cultivate,https://www.youtube.com/watch?v=F2e-HoCO62s,323.76,Speaker
um cultivating my finish in daily life,https://www.youtube.com/watch?v=F2e-HoCO62s,328.08,Speaker
is very important that's why Master L,https://www.youtube.com/watch?v=F2e-HoCO62s,330.84,Speaker
which I didn't live in the same era as,https://www.youtube.com/watch?v=F2e-HoCO62s,333.96,Speaker
but a lot of Disciples of L used to tell,https://www.youtube.com/watch?v=F2e-HoCO62s,338.28,Speaker
me that he,https://www.youtube.com/watch?v=F2e-HoCO62s,341.64,Speaker
taught doing a lot of samti can slow,https://www.youtube.com/watch?v=F2e-HoCO62s,344.84,Speaker
your progress thinking a lot you'll make,https://www.youtube.com/watch?v=F2e-HoCO62s,347.84,Speaker
your mind scattered the heart of the,https://www.youtube.com/watch?v=F2e-HoCO62s,350.76,Speaker
Dharma practice,https://www.youtube.com/watch?v=F2e-HoCO62s,352.96,Speaker
is cultivating myness in daily life,https://www.youtube.com/watch?v=F2e-HoCO62s,355.64,Speaker
how many hours you can sit a walking,https://www.youtube.com/watch?v=F2e-HoCO62s,369.92,Speaker
meditation but if you cannot C away,https://www.youtube.com/watch?v=F2e-HoCO62s,373.48,Speaker
myness in daily life there will be slim,https://www.youtube.com/watch?v=F2e-HoCO62s,377.2,Speaker
chance for you to get the attainment,https://www.youtube.com/watch?v=F2e-HoCO62s,379.96,Speaker
while practicing,https://www.youtube.com/watch?v=F2e-HoCO62s,383.44,Speaker
I I do a lot of uh culating mindfulness,https://www.youtube.com/watch?v=F2e-HoCO62s,385.24,Speaker
sometime I don't want to do meditation,https://www.youtube.com/watch?v=F2e-HoCO62s,390.28,Speaker
because it's I thought it waste of time,https://www.youtube.com/watch?v=F2e-HoCO62s,392.8,Speaker
but for some time it goes by the smart,https://www.youtube.com/watch?v=F2e-HoCO62s,395.88,Speaker
isn't enough and I couldn't cut with,https://www.youtube.com/watch?v=F2e-HoCO62s,399.28,Speaker
wisdom that's why smart is very,https://www.youtube.com/watch?v=F2e-HoCO62s,402.36,Speaker
important as well but most of the time I,https://www.youtube.com/watch?v=F2e-HoCO62s,404.72,Speaker
do my fitness cultivation in daily life,https://www.youtube.com/watch?v=F2e-HoCO62s,407.16,Speaker
because Master Lun taught me to observe,https://www.youtube.com/watch?v=F2e-HoCO62s,410.36,Speaker
my mind to cultivate my in daily life,https://www.youtube.com/watch?v=F2e-HoCO62s,413.88,Speaker
and observing the mind,https://www.youtube.com/watch?v=F2e-HoCO62s,417.44,Speaker
Corless combined,https://www.youtube.com/watch?v=F2e-HoCO62s,421.12,Speaker
together we,https://www.youtube.com/watch?v=F2e-HoCO62s,423.64,Speaker
