text,video_url,start_time_seconds,speaker
เหมือนเราต้องตั้งหลักให้ถูกเราภาวนา,https://www.youtube.com/watch?v=ayYcDjr_a-E,9.54,Ajahn
จดหมายปลายทางเพื่อความพ้นทุกข์,https://www.youtube.com/watch?v=ayYcDjr_a-E,15.48,Ajahn
แต่ก่อนจะไปถึงความพ้นทุกข์ได้,https://www.youtube.com/watch?v=ayYcDjr_a-E,18.78,Ajahn
งานหลักๆของเรางานล้างกิเลส,https://www.youtube.com/watch?v=ayYcDjr_a-E,22.98,Ajahn
ให้การที่เราล้างกิเลสได้นั่นก็คือเกิด,https://www.youtube.com/watch?v=ayYcDjr_a-E,26.76,Ajahn
กุศลขึ้น,https://www.youtube.com/watch?v=ayYcDjr_a-E,30.06,Ajahn
เมื่อเช้าก็มี,https://www.youtube.com/watch?v=ayYcDjr_a-E,34.92,Ajahn
โยมคนหนึ่งเจอหลวงพ่อมาถาม,https://www.youtube.com/watch?v=ayYcDjr_a-E,37.92,Ajahn
ก็เห็น,https://www.youtube.com/watch?v=ayYcDjr_a-E,41.34,Ajahn
กิเลสตัวเอง,https://www.youtube.com/watch?v=ayYcDjr_a-E,43.82,Ajahn
อย่างเพื่อนมาร้องเรียกชื่อ,https://www.youtube.com/watch?v=ayYcDjr_a-E,46.22,Ajahn
ไม่ได้มาด่าแค่มาเรียกชื่อ,https://www.youtube.com/watch?v=ayYcDjr_a-E,49.16,Ajahn
ความโกรธมันพุ่งขึ้นเฉยๆเลย,https://www.youtube.com/watch?v=ayYcDjr_a-E,52.7,Ajahn
พุ่งขึ้นจากกลางออกขึ้นมาถึงหน้าเลย,https://www.youtube.com/watch?v=ayYcDjr_a-E,56.1,Ajahn
แล้วก็ความโกรธว่าพุ่งออกทางตา,https://www.youtube.com/watch?v=ayYcDjr_a-E,61.08,Ajahn
ทรงพลังทำลายล้างออกทางลูกตา,https://www.youtube.com/watch?v=ayYcDjr_a-E,64.92,Ajahn
ถามหลวงพ่อว่า,https://www.youtube.com/watch?v=ayYcDjr_a-E,70.58,Ajahn
