text,video_url,start_time_seconds,speaker
學員提問: ,https://www.youtube.com/watch?v=VHLKc6i0ct8,9.22,老师
我努力地觀跑掉的心，看到它是自己跑的,https://www.youtube.com/watch?v=VHLKc6i0ct8,10.45,老师
有時能觀到，但刻意觀的成分很多,https://www.youtube.com/watch?v=VHLKc6i0ct8,13.68,老师
覺知自己更加頻繁了，但大部分時間仍然迷失在所緣之中,https://www.youtube.com/watch?v=VHLKc6i0ct8,18.57,老师
看到欲望與掙紮，希求快樂與完美,https://www.youtube.com/watch?v=VHLKc6i0ct8,24.12,老师
「我慢」很大，對於「想要」不怎麽忍耐,https://www.youtube.com/watch?v=VHLKc6i0ct8,29.2,老师
請您指出自己的弱點，以及指導下一步該如何修行,https://www.youtube.com/watch?v=VHLKc6i0ct8,33.9,老师
隆波：你說的這些全都對,https://www.youtube.com/watch?v=VHLKc6i0ct8,38.65,老师
你知道自己的缺點，就能慢慢自行調整,https://www.youtube.com/watch?v=VHLKc6i0ct8,42.02,老师
只要別對煩惱投降就好了，每天慢慢地用功,https://www.youtube.com/watch?v=VHLKc6i0ct8,46.9,老师
五戒一定要持守，每天在固定形式中練習,https://www.youtube.com/watch?v=VHLKc6i0ct8,52.3,老师
如果有時間，每天可以訓練好幾個回合,https://www.youtube.com/watch?v=VHLKc6i0ct8,56.2,老师
剩下的時間，就去培育覺性,https://www.youtube.com/watch?v=VHLKc6i0ct8,59.25,老师
一整天都去讀自己的心，不久就會自行進步的,https://www.youtube.com/watch?v=VHLKc6i0ct8,60.95,老师
因為心知道「這個是煩惱」，它看到了煩惱，看到了自己的缺點,https://www.youtube.com/watch?v=VHLKc6i0ct8,67.08,老师
不修行的人，大多只會看到自己的優點,https://www.youtube.com/watch?v=VHLKc6i0ct8,72.85,老师
但是修行的人就會看到：,https://www.youtube.com/watch?v=VHLKc6i0ct8,77.03,老师
這是自己的優點，這是自己的缺點。能夠看到兩面,https://www.youtube.com/watch?v=VHLKc6i0ct8,79.0,老师
如果你能這樣觀照，就能進步 ,https://www.youtube.com/watch?v=VHLKc6i0ct8,84.35,老师
