video_id,title,duration,view_count,upload_date,has_subtitles,subtitle
iiqQbm_AI0A,????????????? ???????? 27 ??.?. 2568,5237,957,,Yes,th
o6HMwVdv_SM,????????????????????? :: ??????????????? ???????? 17 ?.?. 2568,4028,19087,,Yes,th
iurxs1_AP2g,??????????????????????????? :: ??????????????? ???????? 18 ?.?. 2568,4249,28158,,Yes,th
bK2Xac29gl8,?????????????????????????? :: ??????????????? ???????? 12 ?.?. 2568,1523,17658,,Yes,th
EPAZgd79hys,???????????????????? :: ??????????????? ???????? 4 ?.?. 2568,183,2232,,Yes,"lo,th,th"
vpLpPsYzA1w,?????????????????? :: ??????????????? ???????? 11 ?.?. 2568 (????????),3378,28190,,Yes,th
P7D60S5FASI,Be aware of suffering to relinquish attachment :: Luangpu Pramote Pamojjo 24 Sep 2023,3605,852,,Yes,"en-GB,th,en"
p958AqCVdNs,?????????????????????????? :: ??????????????? ???????? 4 ?.?. 2568,437,3923,,Yes,"lo,th,th"
PHWoDqqlIx0,?????????????????????????? :: ?????????? ??????? (?????????) 30 ??.?. 2568,2721,3345,,Yes,th
3UBiDmDhuq4,???????????? :: ??????????????? ???????? 3 ?.?. 2568,218,4313,,Yes,"lo,th,th"
G8yHWi-0TG8,??????????????????????????????? :: ??????????????? ???????? 10 ?.?. 2568,3883,25882,,Yes,th
-6bsAofX6FE,??????????????????????????????????? :: ??????????????? ???????? 26 ??.?. 2568,221,2711,,Yes,"th,th"
vgEc37LmEJ8,??????????????????????????????????? :: ??????????????? ???????? 4 ?.?. 2568,3679,46601,,Yes,th
_aeWnNTFxII,????????????????????????? 8 :: ??????????????? ???????? 27 ??.?. 2568,1957,17909,,Yes,th
ujx5s8bFYus,Everything is Changing All the Time :: Luangpu Pramote Pamojjo 7 Jan 2023,4364,1446,,Yes,"en-GB,th,en"
DX0xpkytGpg,?????????? :: ??????????????? ???????? 19 ??.?. 2568,90,2119,,Yes,"th,th"
NwvQOmqq8HY,??????????????????????????? :: ??????????????? ???????? 19 ??.?. 2568,97,1392,,Yes,"th,th"
hB0StRxFgwY,?????????????? :: ??????????????? ???????? 26 ??.?. 2568,3454,30472,,Yes,th
1Q4EqJOtjL4,???????????? :: ??????????????? ?????????? 26 ??.?. 2568,3872,4010,,Yes,th
S2TRTuVqBks,???????????????????? :: ??????????????? ???????? 19 ??.?. 2568,2877,49946,,Yes,th
ovO9S3mL0Fg,????????????????? :: ??????????????? ???????? 13 ??.?. 2568,269,3824,,Yes,"lo,th,th"
_PtvDRmTWR8,?????????????????????? :: ??????????????? ???????? 13 ??.?. 2568,224,2280,,Yes,"lo,th,th"
OSVAWOEockE,Dhamma Practice :: Luangpu Pramote Pamojjo 12 Aug 2023,3945,2049,,Yes,"en-GB,en"
BXaQRcG2B7Y,???????????????????????????????? :: ??????????????? ???????? 7 ??.?. 2568,1182,24112,,Yes,"th,th"
tUSWRFdUfMM,??????????????????? 5 ???????????? :: ??????????????? ????????  13 ??.?. 2568,3902,45592,,Yes,th
F8UFDpKDFZQ,???????????????? ::  ??????????????? ???????? 12 ??.?. 2568,2902,57947,,Yes,"th,th"
NhBXUUcg7Xo,??????????????? :: ??????????????? ???????? 26 ??.?. 2568,4529,98266,,Yes,"th,th"
WJzn6-WlGWM,Do not neglect your own mind :: Luangpu Pramote Pamojjo 23 Jul 2023,4329,2098,,Yes,"en-GB,th,en"
JQqZ9mVo1u4,??????????????????????????? :: ??????????????? ???????? 22 ??.?. 2568,185,4106,,Yes,"lo,th,th"
V47Na1qOrZA,???????????????????????????? :: ????????????? ???????? 7 ??.?. 2568,6014,5309,,Yes,th
FRhN4XonXcg,????????? :: ????????????? ???????? 9 ?.?. 2568,6203,3929,,Yes,th
PqE1f0GRRiE,???????????????????????? :: ??????????????? ???????? 23 ??.?. 2568,3258,67514,,Yes,"th,th"
QuK4qCCJYZU,What is your Life Purpose - Happiness or Liberation? :: Luangpu Pramote Pamojjo 13 Aug 2022,4506,1925,,Yes,"en-GB,th"
K8NEZ-vykVI,????? :: ????????????? ???????? 9 ??.?. 2568,4774,7080,,Yes,th
AI8waaNS5SU,?????????????????????????????????? :: ??????????????? ???????? 10 ??.?. 2568,1056,24230,,Yes,"th,th"
OCvItBwUBq0,?????????????????????? :: ??????????????? ?????????? 10 ?.?. 2568,3434,9216,,Yes,th
Fr3nyzpGmso,How to Deal with Restlessness :: Luangpu Pramote Pamojjo 16 Sep 2023,4088,2963,,Yes,"en-GB,th,en"
uoA3DuI8oZU,???????????????? :: ??????????????? ???????? 23 ?.?. 2568,276,4104,,Yes,"lo,th,th"
4D9cqsxeMl4,???????????????????????????????????? :: ??????????????? ???????? 15 ?.?. 2568,220,3512,,Yes,"lo,th"
4eQN1whaI5A,?????????????? :: ??????????????? ???????? 12 ?.?. 2567,234,3097,,Yes,th
XmCuX4IooPM,?????????????????????????? :: ??????????????? ???????? 22 ?.?. 2568 (????????),2130,30288,,Yes,"th,th"
Rmsoa9-3-qw,?????????????????????? :: ??????????????? ???????? 15 ?.?. 2568,213,2275,,Yes,"lo,th"
Qt62s47-N4w,??????????????????????? :: ??????????????? ???????? 15 ?.?. 2568,3913,35694,,Yes,"th,th"
j91hvdmSIkU,The heart of meditation is the mind :: Luangpu Pramote Pamojjo 22 Oct 2022,4149,992,,Yes,"en-GB,th,en"
JhJjQMTWzU4,?????????????????????? :: ??????????????? ???????? 8 ?.?. 2568,184,3630,,Yes,"lo,th,th"
5dgUPERpnHs,?????????????????????????? :: ?????????? ??????? (?????????) 2 ?.?. 2568,3042,4442,,Yes,th
Le8zBjuTp4A,????????????????????????????? :: ??????????????? ???????? 16 ?.?. 2568,3650,30760,,Yes,"th,th"
#NAME?,????????????????????? :: ??????????????? ???????? 12 ?.?. 2568 (????????),2746,22914,,Yes,"th,th"
awRzubMgN_k,???????????????????????????? :: ??????????????? ???????? 12 ?.?. 2568 (????????),2870,43751,,Yes,"th,th"
sR6Q2VUcFKk,????????????????? 4 :: ??????????????? ???????? 2 ?.?. 2568,235,2871,,Yes,"lo,th,th"
BisdbQprkhI,??????????????? :: ??????????????? ???????? 1 ?.?. 2568,215,3208,,Yes,"lo,th,th"
TCm9GfMjTHc,???????????????????????????? :: ????????????? ???????? 28 ?.?. 2567,6428,7116,,Yes,th
jOiNnSujxqk,??????????????? :: ??????????????? ????????  25 ?.?. 2568,1589,18051,,Yes,th
c1JBnlG2FtM,????????????????????????????????????????? ????????????????????? ?.?????? 23 ?????? 2568,865,8031,,Yes,th
2bYNJn8-9dA,?????????????????????????????????? :: ??????????????? ???????? 8 ?.?. 2568,4035,63983,,Yes,"th,th"
fqfPx5lvO6g,?????????????????????????? :: ?????????? ??????? (?????????) 30 ?.?. 2567,3513,3127,,Yes,th
7OZypaLK8SU,????????????????????????? :: ??????????????? ???????? 1 ?.?. 2568,4031,39219,,Yes,"th,th"
ZqyAVyf_cgQ,???????????????????????????????????????????? :: ??????????????? ???????? 2 ?.?. 2568,3807,84897,,Yes,"th,th"
2Wyf8TkRu1I,The world is like a poisonous snake :: Luangpu Pramote Pamojjo 24 Jul 2022,3927,1706,,Yes,"en-GB,th"
JBMtFNLdZSs,?????????????????????????? :: ??????????????? ???????? 1 ?.?. 2567,230,2423,,Yes,th
LNxbIlP__Ew,?????????????????????????? :: ??????????????? ?????????? 27 ?.?. 2567,3178,3680,,Yes,th
L4w391rz2k0,???????????????????????????????? :: ??????????????? ???????? 29 ?.?. 2567,1261,21036,,Yes,th
